latitude,longitude,wpd_median,color_wpd_median,ghi_median,color_ghi_median,wpd_mean,color_wpd_mean,ghi_mean,color_ghi_mean,wpd_availability,color_wpd_availability,ghi_availability,color_ghi_availability,wss,color_wss,scw,color_scw,wcs,color_wcs,wind_ep_length,color_wind_ep_length,solar_ep_length,color_solar_ep_length,solar_ep_lull,color_solar_ep_lull,wind_ep_lull,color_wind_ep_lull
12.72,75.12,20.26488,15,507.3374,510,54.354317,45,488.46735,510,4.988584475,10,79.64236589,80,34.84018265,40,34.7716895,40,0.068493151,2,2.714285714,1,9.442934783,10,5.268392371,3,51.37037037,45
12.72,75.24,12.984929,15,507.34766,510,42.183887,45,489.6521,510,3.03652968,10,79.25263641,80,36.55251142,40,36.49543379,40,0.057077626,2,2.418181818,1,9.42506812,10,5.297407913,3,76.51351351,75
12.72,75.36,6.4811707,15,500.834,510,29.78449,15,490.32883,510,1.735159817,10,79.27473032,80,37.76255708,40,37.7283105,40,0.034246575,2,1.87654321,1,9.442622951,10,5.308743169,3,104.9634146,105
12.72,75.48,2.2159562,15,490.98654,510,18.192345,15,490.00644,510,0.821917808,10,78.77532228,80,38.26484018,40,38.25342466,40,0.011415525,2,1.285714286,1,9.329700272,10,5.345156889,3,152.4035088,165
12.72,75.6,1.4548769,15,490.17096,510,11.841361,15,487.21045,510,0.308219178,10,77.5599631,80,38.10502283,40,38.09360731,40,0.011415525,2,1.038461538,1,9.07277628,10,5.394843962,3,323.4074074,300
12.72,75.72,2.7163928,15,466,450,15.093053,15,479.22635,450,0.228310502,10,75.61707036,80,37.28310502,40,37.24885845,40,0.034246575,2,1.176470588,1,8.541666667,7,5.416,3,485.5,300
12.72,75.84,12.519756,15,452.12173,450,41.39249,45,471.7219,450,2.933789954,10,74.22109393,80,37.21461187,40,36.13013699,40,1.084474886,2,4.849056604,3,8.598930481,7,5.575675676,3,157.4444444,165
12.72,75.96,38.956955,45,493.5,510,89.51224,75,496.64172,510,10.4109589,20,76.51952854,80,36.48401826,40,33.94977169,40,2.534246575,5,6.608695652,7,8.782493369,7,5.425302826,3,56.45323741,45
12.72,76.08,45.39836,45,517,510,98.66108,105,510.08948,510,12.5456621,20,78.35906891,80,34.21232877,40,32.21461187,40,1.997716895,2,5.723958333,3,9.244565217,10,5.367847411,3,39.68911917,45
12.72,76.2,42.444622,45,530.12683,510,92.25775,105,514.6968,510,10.86757991,20,79.24441373,80,33.74429224,40,32.24885845,40,1.49543379,2,4.689655172,3,9.376021798,10,5.321964529,3,38.26960784,45
12.72,76.32,46.59478,45,534.04175,510,100.886894,105,517.001,510,11.32420091,20,79.58525346,80,34.29223744,40,32.4086758,40,1.883561644,2,5.221052632,3,9.414168937,10,5.302864939,3,40.66492147,45
12.72,76.44,54.029114,45,543.5,570,112.89012,105,521.7657,510,12.32876712,20,79.65945697,80,34.44063927,40,32.53424658,40,1.906392694,2,5.4,3,9.410326087,10,5.284741144,3,38.2039801,45
12.72,76.56,64.839386,75,543.08984,570,124.494194,135,521.8595,510,13.33333333,20,79.82052462,80,34.39497717,40,32.52283105,40,1.872146119,2,5.753694581,3,9.480874317,10,5.289617486,3,37.21078431,45
12.72,76.68,73.34416,75,542,570,140.09558,135,519.80444,510,15.456621,20,79.50838502,80,34.44063927,40,32.48858447,40,1.952054795,2,7.089005236,7,9.484931507,10,5.307797538,3,38.56770833,45
12.72,76.8,62.77623,75,539.3646,510,144.6562,135,520.8257,510,17.42009132,20,79.5862069,80,34.6803653,40,32.76255708,40,1.917808219,2,7.554455446,7,9.490410959,10,5.30506156,3,35.63054187,45
12.72,76.92,43.43693,45,537,510,118.910706,105,519.51807,510,13.43607306,20,79.30638493,80,35.1369863,40,33.42465753,40,1.712328767,2,5.885,3,9.486263736,10,5.32739726,3,37.72139303,45
12.72,77.04,37.188225,45,539,510,98.56281,105,519.2866,510,10.20547945,20,79.52194898,80,35.52511416,40,34.08675799,40,1.438356164,2,5.289940828,3,9.479452055,10,5.310533516,3,46.26470588,45
12.72,77.16,46.13919,45,538,510,104.88085,105,518.8555,510,10.26255708,20,79.49896575,80,35.65068493,40,34.12100457,40,1.529680365,2,5.583850932,3,9.508241758,10,5.316438356,3,48.51851852,45
12.72,77.28,52.453056,45,532.47784,510,116.15015,105,518.8765,510,11.68949772,20,79.32780847,80,35.37671233,40,33.80136986,40,1.575342466,2,6.320987654,7,9.420765027,10,5.319672131,3,47.45398773,45
12.72,77.4,49.52776,45,537.08765,510,115.31894,105,518.8673,510,12.03196347,20,79.06602254,80,35.35388128,40,33.84703196,40,1.506849315,2,6.273809524,7,9.390710383,10,5.334699454,3,45.59171598,45
12.72,77.52,51.922165,45,530.0967,510,113.28374,105,518.1942,510,11.97488584,20,79.39352171,80,35.62785388,40,34.22374429,40,1.404109589,2,5.893258427,3,9.445355191,10,5.307377049,3,43.0726257,45
12.72,77.64,75.94092,75,531.445,510,140.9321,135,516.7479,510,16.88356164,20,79.07190443,80,34.94292237,40,33.18493151,40,1.757990868,2,5.8,3,9.378746594,10,5.320600273,3,28.4375,15
12.72,77.76,112.446625,105,526.5,510,193.15591,195,514.9297,510,24.62328767,30,78.85189437,80,32.93378995,40,30.60502283,40,2.328767123,2,6.913461538,7,9.359673025,10,5.330150068,3,21.09265176,15
12.72,77.88,105.94437,105,525.36646,510,226.48294,225,515.617,510,26.67808219,30,78.35855112,80,32.56849315,40,29.74885845,30,2.819634703,5,9.577868852,10,9.31880109,10,5.350613915,3,26.2122449,15
12.72,78,80.441826,75,519.43463,510,210.56157,225,512.87726,510,24.88584475,30,78.56652164,80,32.9109589,40,30.2283105,40,2.682648402,5,9.81981982,10,9.348773842,10,5.335607094,3,29.50224215,15
12.72,78.12,64.96365,75,522.5,510,169.94571,165,512.3635,510,22.00913242,30,78.99198167,80,33.50456621,40,31.10730594,40,2.397260274,2,8.530973451,7,9.397820163,10,5.311050477,3,30.09251101,45
12.72,78.24,63.470325,75,525,510,150.23235,165,513.85455,510,19.18949772,20,79.02338377,80,33.84703196,40,31.60958904,40,2.237442922,2,7.06302521,7,9.423497268,10,5.318306011,3,29.61506276,15
12.72,78.36,64.64365,75,525.5,510,151.00275,165,512.45624,510,18.55022831,20,79.23622227,80,33.99543379,40,31.86073059,40,2.134703196,2,7.254464286,7,9.441416894,10,5.289222374,3,31.70666667,45
12.72,78.48,48.95132,45,518.77466,510,132.93587,135,510.2176,510,16.21004566,20,78.91607592,80,34.48630137,40,32.61415525,40,1.872146119,2,7.888888889,7,9.43442623,10,5.31284153,3,40.54696133,45
12.72,78.6,24.44801,15,510.04865,510,92.77068,105,507.97806,510,11.57534247,20,78.64654778,80,35.3652968,40,33.94977169,40,1.415525114,2,6.671052632,7,9.401639344,10,5.329234973,3,50.62091503,45
